Gene Symbol(s),ScENSP,HsENSP52,HsENSP74,HsORFeomeID,HsEntrez,Tet-down CompStatus,Tet-down ToxStatus,TS CompStatus,TS ToxStatus,MM CompStatus,MM ToxStatus,Tetrad CompStatus,Assay CompStatus,Lit CompStatus,Literature PMID,Final CompStatus,Final ToxStatus,BayesNet Test Set
RRN3; TIFIA; A-270G1.,YKL125W,ENSP00000198767,ENSP00000198767,51006@E12,54700,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
SRPRB; APMCF1,YKL154W,ENSP00000273406,ENSP00000418401,31012@F12,58477,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
PIGN; MCD4; MDC4; MCAHS; PIG-N; MCAHS1,YKL165C,ENSP00000350263,ENSP00000350263,11080@E05,23556,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
NDUFAB1; ACP; SDAP; FASN2A,YKL192C,ENSP00000007516,ENSP00000007516,71003@E04,4706,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
GTF2E2; FE; TF2E2; TFIIE-B,YKR062W,ENSP00000348168,ENSP00000348168,31016@H02,2961,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
LAS1L; Las1-like; dJ475B7.2,YKR063C,ENSP00000363944,ENSP00000363944,11014@C07,81887,NA,Toxic,NA,NA,Non complement,NA,Non complement,Non complement,NA,NA,Non complement,Toxic,
DHX38; DDX38; PRP16; PRPF16,YKR086W,ENSP00000268482,ENSP00000268482,11080@C10,9785,Non complement,NA,Non complement,Toxic,Non complement,NA,NA,Non complement,NA,NA,Non complement,Toxic,
DCAF13; GM83; WDSOF1; HSPC064,YLL011W,ENSP00000297579,ENSP00000297579,11063@D09,25879,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
DARS; HBSL; aspRS,YLL018C,ENSP00000264161,ENSP00000264161,11022@H03,1615,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
NVL,YLL034C,ENSP00000281701,ENSP00000281701,11039@E01,4931,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
PRPF19; PSO4; SNEV; PRP19; UBOX4; hPSO4; NMP200,YLL036C,ENSP00000227524,ENSP00000227524,11076@D05,27339,Non complement,NA,NA,Toxic,Non complement,NA,NA,Non complement,NA,NA,Non complement,Toxic,
RSL24D1; L30; RLP24; RPL24; TVAS3; RPL24L; C15orf15; HRP-L30-iso,YLR009W,ENSP00000260443,ENSP00000260443,11018@C06,51187,Non complement,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
FARSB; FRSB; PheHB; PheRS; FARSLB; HSPC173,YLR060W,ENSP00000281828,ENSP00000281828,31021@E11,10056,Non complement,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
SPCS3; SPC3; PRO3567; YLR066W; SPC22/23,YLR066W,ENSP00000264597,ENSP00000427463,31008@E02,60559,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
CDC45; CDC45L; CDC45L2; PORC-PI-1,YLR103C,ENSP00000385240,ENSP00000405726,11069@E08,8318,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
TSEN2; SEN2; PCH2B; SEN2L,YLR105C,ENSP00000385976,ENSP00000284995,11037@D06,80746,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
CPSF2; CPSF100,YLR115W,ENSP00000298875,ENSP00000298875,71026@B02,53981,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
SF1; BBP; MBBP; ZFM1; ZNF162; D11S636; ZCCHC25,YLR116W,ENSP00000366604,ENSP00000366604,11013@C09,7536,NA,NA,Non complement,Toxic,Non complement,NA,Non complement,Non complement,NA,NA,Non complement,Toxic,
ANAPC2; APC2,YLR127C,ENSP00000314004,ENSP00000314004,11024@H08,29882,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
WDR3; DIP2; UTP12,YLR129W,ENSP00000308179,ENSP00000308179,31021@B12,10885,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
EXOC5; SEC10; HSEC10; SEC10P; PRO1912; SEC10L1,YLR166C,ENSP00000342100,ENSP00000389934,31007@H04,10640,Non complement,Toxic,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,Toxic,
DKC1; DKC; CBF5; DKCX; NAP57; NOLA4; XAP101,YLR175W,ENSP00000377168,ENSP00000472996,11038@B09,1736,Non complement,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
PWP1; IEF-SSP-9502,YLR196W,ENSP00000258531,ENSP00000387365,11022@H02,11137,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
NOP56; NOL5A; SCA36,YLR197W,ENSP00000370589,ENSP00000370589,11074@H05,10528,NA,NA,NA,NA,Non complement,Toxic,NA,Non complement,NA,NA,Non complement,Toxic,
MCM5; CDC46; P1-CDC46,YLR274W,ENSP00000216122,ENSP00000216122,11072@A12,4174,NA,NA,Non complement,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,
WDR36; GLC1G; UTP21; TAWDRP; TA-WDRP,YLR409C,ENSP00000319771,ENSP00000423067,71030@C10,134430,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
TFIP11; NTR1; TIP39; hNtr1; Spp382; bK445C9.6,YLR424W,ENSP00000384421,ENSP00000384421,31041@D08,24144,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
SUPT5H; SPT5; SPT5H; Tat-CT1,YML010W,ENSP00000384505,ENSP00000470252,31037@G03,6829,NA,NA,Non complement,NA,NA,Toxic,NA,Non complement,NA,NA,Non complement,Toxic,
MRPL4; L4mt; CGI-28,YML025C,ENSP00000253099,ENSP00000253099,11007@C06,51073,NA,NA,NA,NA,Non complement,NA,Non complement,Non complement,NA,NA,Non complement,NA,
SF3B3; RSE1; SAP130; SF3b130; STAF130,YML049C,ENSP00000305790,ENSP00000305790,11035@F07,23450,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
CSTF3; CSTF-77,YMR061W,ENSP00000315791,ENSP00000315791,11040@H08,1479,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
DHX37; DDX37,YMR128W,ENSP00000311135,ENSP00000311135,11081@F01,57647,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
GRWD1; CDW4; GRWD; RRB1; WDR28,YMR131C,ENSP00000253237,ENSP00000253237,11011@E12,83743,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
EIF3I; TRIP1; EIF3S2; TRIP-1; PRO2242; eIF3-p36; eIF3-beta,YMR146C,ENSP00000362688,ENSP00000362688,11054@H01,8668,Non complement,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
TRAPPC10; EHOC1; GT334; TMEM1; TRS30; EHOC-1; TRS130,YMR218C,ENSP00000291574,ENSP00000291574,31033@A01,7109,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
DDX18; MrDb,YMR290C,ENSP00000263239,ENSP00000263239,71020@H06,8886,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
SAMM50; OMP85; SAM50; TOB55; TRG-3; CGI-51; YNL026W,YNL026W,ENSP00000379505,ENSP00000345445,11012@C07,25813,Non complement,NA,NA,NA,Non complement,NA,Non complement,Non complement,NA,NA,Non complement,NA,
TRMT6; GCD10; CGI-09; Gcd10p,YNL062C,ENSP00000203001,ENSP00000203001,11087@B04,51605,Non complement,Toxic,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,Toxic,
IMP4; BXDC4,YNL075W,ENSP00000259239,ENSP00000259239,31042@F08,92856,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
NIFK; Nopp34; MKI67IP,YNL110C,ENSP00000285814,ENSP00000285814,11006@G09,84365,Non complement,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
RPS3; S3,YNL178W,ENSP00000278572,ENSP00000278572,11047@D05,6188,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
POP1,YNL221C,ENSP00000385787,ENSP00000385787,11079@B08,10940,NA,Toxic,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,Toxic,
ORAOV1; TAOS1,YNL260C,ENSP00000279147,ENSP00000446428,71012@F03,220064,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
ORC5; ORC5L; ORC5P; ORC5T; PPP1R117,YNL261W,ENSP00000297431,ENSP00000297431,31017@B02,5001,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
POLE; FILS; POLE1; CRCS12,YNL262W,ENSP00000322570,ENSP00000322570,31016@H08,5426,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
TTC27,YNL313C,ENSP00000313953,ENSP00000313953,31030@H10,55622,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
ABT1; hABT1,YNR054C,ENSP00000274849,ENSP00000468826,31005@E05,29777,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
RCL1; RNAC; RPCL1,YOL010W,ENSP00000371169,ENSP00000371169,11034@G03,10171,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
TRPT1,YOL102C,ENSP00000314073,ENSP00000378050,11075@H07,83707,Non complement,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
MED7; ARC34; CRSP9; CRSP33,YOL135C,ENSP00000286317,ENSP00000286317,11020@C01,9443,NA,NA,Non complement,NA,Non complement,NA,Non complement,Non complement,NA,NA,Non complement,NA,
GINS3; PSF3,YOL146W,ENSP00000318196,ENSP00000401018,11046@A11,64785,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
UTP23; C8orf53,YOR004W,ENSP00000308332,ENSP00000308332,11047@G09,84294,NA,NA,NA,NA,Non complement,Toxic,NA,Non complement,NA,NA,Non complement,Toxic,
XRN2,YOR048C,ENSP00000366396,ENSP00000366396,11069@D05,22803,NA,Toxic,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,Toxic,
NOB1; ART-4; NOB1P; MST158; MSTP158; PSMD8BP1,YOR056C,ENSP00000268802,ENSP00000268802,31014@H01,28987,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
DAD1; OST2,YOR103C,ENSP00000250498,ENSP00000250498,11082@E07,1603,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
RIOK1; AD034; RRP10; bA288G3.1,YOR119C,ENSP00000264874,ENSP00000369162,11038@E12,83732,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
GTF2A1; TF2A1; TFIIA; TFIIAL; TFIIA-42,YOR194C,ENSP00000298173,ENSP00000452454,51014@H10,2957,Non complement,NA,NA,NA,NA,Toxic,NA,Non complement,NA,NA,Non complement,Toxic,
NOC2L; NIR; NET7; NET15; PPP1R112,YOR206W,ENSP00000317992,ENSP00000317992,11072@C08,26155,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
RFC1; A1; RFC; PO-GA; RECC1; MHCBFB; RFC140,YOR217W,ENSP00000371321,ENSP00000371321,31028@G03,5981,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
CLP1; HEAB; hClp1,YOR250C,ENSP00000304704,ENSP00000433406,31041@F09,10978,NA,NA,NA,NA,Non complement,Toxic,NA,Non complement,NA,NA,Non complement,Toxic,
SEC63; ERdj2; SEC63L; DNAJC23; PRO2507,YOR254C,ENSP00000357998,ENSP00000357998,31011@H01,11231,Non complement,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
CETN3; CEN3; CDC31,YOR257W,ENSP00000283122,ENSP00000428259,11043@F05,1070,NA,NA,NA,NA,Non complement,Toxic,NA,Non complement,NA,NA,Non complement,Toxic,
EIF2B3; EIF-2B; EIF2Bgamma,YOR260W,ENSP00000353575,ENSP00000353575,11022@C12,8891,NA,NA,NA,Toxic,Non complement,NA,NA,Non complement,NA,NA,Non complement,Toxic,
GPN2; ATPBD1B,YOR262W,ENSP00000363250,ENSP00000363250,11007@C04,54707,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
RRP36; C6orf153; dJ20C7.4,YOR287C,ENSP00000244496,ENSP00000244496,71007@A02,88745,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
NOP58; NOP5; HSPC120; NOP5/NOP58,YOR310C,ENSP00000264279,ENSP00000264279,11068@C02,51602,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
RRP12; KIAA0690,YPL012W,ENSP00000360031,ENSP00000360031,11080@F11,23223,Non complement,NA,NA,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,
SENP5,YPL020C,ENSP00000327197,ENSP00000327197,11078@B05,205564,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
TIMM50; TIM50; TIM50L,YPL063W,ENSP00000318115,ENSP00000318115,51020@D07,92609,Non complement,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
BTAF1; MOT1; TAF172; TAFII170; TAF(II)170,YPL082C,ENSP00000265990,ENSP00000265990,51024@G09,9044,NA,NA,Non complement,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,
TSEN54; PCH4; PCH5; PCH2A; sen54; SEN54L,YPL083C,ENSP00000327487,ENSP00000327487,31010@H05,283989,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
PLRG1; Cwc1; PRL1; PRP46; PRPF46; TANGO4,YPL151C,ENSP00000377483,ENSP00000424417,31021@C09,5356,Non complement,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
BMS1; ACC; BMS1L,YPL217C,ENSP00000363642,ENSP00000363642,71031@H05,9790,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
RUVBL2; RVB2; TIH2; ECP51; TIP48; CGI-46; INO80J; REPTIN; TIP49B,YPL235W,ENSP00000221413,ENSP00000473172,11012@B01,10856,Non complement,Toxic,NA,NA,Non complement,Toxic,Non complement,Non complement,NA,NA,Non complement,Toxic,
SRP68,YPL243W,ENSP00000312066,ENSP00000312066,71019@E10,6730,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
NDOR1; NR1; bA350O14.9,YPR048W,ENSP00000360576,ENSP00000360576,31041@G06,27158,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
GTF2H3; P34; BTF2; TFB4; TFIIH,YPR056W,ENSP00000228955,ENSP00000445162,31013@G04,2967,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
GTF2B; TF2B; TFIIB,YPR086W,ENSP00000359531,ENSP00000359531,31020@D07,2959,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,Non complement,15024075,Non complement,NA,
PHF5A; INI; Rds3; SF3B7; SAP14b; SF3b14b; bK223H9.2,YPR094W,ENSP00000216252,ENSP00000216252,11041@B08,84844,NA,NA,Non complement,NA,NA,Toxic,NA,Non complement,NA,NA,Non complement,Toxic,
COG4; COD1; CDG2J,YPR105C,ENSP00000315775,ENSP00000315775,11013@B11,25839,Non complement,NA,NA,NA,Non complement,NA,Non complement,Non complement,NA,NA,Non complement,NA,
POLR1C; RPA5; TCS3; RPA39; RPA40; RPAC1,YPR110C,ENSP00000361465,ENSP00000361465,11008@A03,9533,NA,NA,Non complement,Toxic,Non complement,NA,NA,Non complement,NA,NA,Non complement,Toxic,
RBM19,YPR112C,ENSP00000261741,ENSP00000442053,11025@F02,9904,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
NOC4L; NOC4; NET49; UTP19,YPR144C,ENSP00000328854,ENSP00000328854,11022@H07,79050,Non complement,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
ORC4; ORC4L; ORC4P,YPR162C,ENSP00000264169,ENSP00000376597,11020@G01,5000,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
MED10; L6; NUT2; TRG20,YPR168W,ENSP00000255764,ENSP00000255764,71002@B09,84246,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
POLE2; DPE2,YPR175W,ENSP00000216367,ENSP00000216367,51006@F05,5427,NA,NA,Non complement,Toxic,Non complement,NA,NA,Non complement,NA,NA,Non complement,Toxic,
PRPF4; PRP4; RP70; HPRP4; Prp4p; HPRP4P; SNRNP60,YPR178W,ENSP00000363313,ENSP00000363313,11013@A12,9128,Non complement,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
SAE1; AOS1; SUA1; UBLE1A; HSPC140,YPR180W,ENSP00000270225,ENSP00000270225,11008@A02,10055,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
POLR3C; RPC3; RPC62,YPR190C,ENSP00000334564,ENSP00000464345,11013@B12,10623,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
FDXR; ADXR,YDR376W,ENSP00000293195,ENSP00000416515,11037@G04,2232,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
WDR18; Ipi3; R32184_1,YNL182C,ENSP00000251289,ENSP00000251289,11036@F04,57418,Non complement,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
FCF1; Bka; UTP24; CGI-35; C14orf111,YDR339C,ENSP00000344393,ENSP00000344393,31033@G08,51077,Non complement,NA,NA,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,
