Gene Symbol(s),ScENSP,HsENSP52,HsENSP74,HsORFeomeID,HsEntrez,Tet-down CompStatus,Tet-down ToxStatus,TS CompStatus,TS ToxStatus,MM CompStatus,MM ToxStatus,Tetrad CompStatus,Assay CompStatus,Lit CompStatus,Literature PMID,Final CompStatus,Final ToxStatus,BayesNet Test Set
NUF2; CDCA1; CT106; NUF2R,YOL069W,ENSP00000271452,ENSP00000356875,11064@E07,83540,Complement,NA,Non complement,NA,Non complement,NA,NA,Complement,NA,NA,Complement,NA,
WARS; IFI53; IFP53; GAMMA-2,YOL097C,ENSP00000347495,ENSP00000376620,11065@A05,7453,Complement,NA,NA,NA,Complement,NA,NA,Complement,Complement,12423761,Complement,NA,
RBX1; ROC1; RNF75; BA554C12.1,YOL133W,ENSP00000216225,ENSP00000216225,11026@C04,9978,NA,NA,NA,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
TYMSOS; C18orf56,YOR074C,ENSP00000315644,ENSP00000315644,11031@F01,494514,NA,NA,Complement,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,
RPIA; RPI; RPIAD,YOR095C,ENSP00000283646,ENSP00000283646,11005@A03,22934,NA,NA,NA,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
PSMC3; TBP1,YOR117W,ENSP00000298852,ENSP00000298852,51014@H05,5702,NA,NA,NA,NA,Complement,NA,NA,Complement,Complement,7754704,Complement,NA,
PFN4,YOR122C,ENSP00000322170,ENSP00000322170,11082@B11,375189,NA,NA,Complement,NA,Non complement,NA,NA,Complement,Complement,10231360,Complement,NA,
TPK1; PP20; HTPK1; THMD5,YOR143C,ENSP00000353165,ENSP00000353165,31029@F05,27010,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
PIGZ; SMP3; PIG-Z; GPI-MT-IV,YOR149C,ENSP00000238138,ENSP00000413405,31024@F11,80235,NA,NA,NA,NA,Complement,NA,NA,Complement,Complement,15208306,Complement,NA,
SNRPE; SME; Sm-E; B-raf; HYPT11,YOR159C,ENSP00000356177,ENSP00000400591,11073@D03,6635,NA,NA,NA,NA,Complement,NA,NA,Complement,Complement,DOI: 10.2225/vol10-issue2-fulltext-14,Complement,NA,
QARS; GLNRS; MSCCA; PRO2195,YOR168W,ENSP00000307567,ENSP00000307567,11072@E08,5859,Complement,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
FECH; EPP; FCE,YOR176W,ENSP00000372326,ENSP00000372326,71015@H05,2235,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
POLR2L; RBP10; RPB10; RPABC5; RPB7.6; hRPB7.6; RPB10beta,YOR210W,ENSP00000324124,ENSP00000324124,11040@B12,5441,Complement,NA,NA,NA,Complement,NA,Complement,Complement,Complement,7651387,Complement,NA,
KAT5; TIP; ESA1; PLIP; TIP60; cPLA2; HTATIP; ZC2HC5; HTATIP1,YOR244W,ENSP00000340330,ENSP00000340330,51013@A05,10524,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
PSMC6; P44; p42; SUG2; CADP44; HEL-S-73,YOR259C,ENSP00000216407,ENSP00000401802,11009@E01,5706,Complement,NA,Complement,NA,Complement,Toxic,Complement,Complement,NA,NA,Complement,Toxic,
PSMD7; P40; S12; Rpn8; MOV34,YOR261C,ENSP00000219313,ENSP00000219313,11054@F05,5713,Complement,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
POLR1A; A190; RPA1; RPO14; RPA194; RPO1-4,YOR341W,ENSP00000263857,ENSP00000263857,51008@H10,25885,Non complement,NA,Complement,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,
PSMA3; HC8; PSC3,YOR362C,ENSP00000216455,ENSP00000216455,11020@G02,5684,NA,NA,NA,NA,Complement,NA,Non complement,Complement,NA,NA,Complement,NA,
ACAT1; T2; MAT; ACAT; THIL,YPL028W,ENSP00000265838,ENSP00000265838,11043@D04,38,Complement,NA,Non complement,NA,Non complement,NA,NA,Complement,NA,NA,Complement,NA,
RBM28; ANES,YPL043W,ENSP00000223073,ENSP00000223073,11078@E05,55131,NA,NA,Complement,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
GTPBP4; NGB; CRFG; NOG1,YPL093W,ENSP00000353168,ENSP00000354040,31003@E05,23560,Non complement,NA,Complement,Toxic,Non complement,NA,NA,Complement,NA,NA,Complement,Toxic,
RPL5; L5; DBA6; MSTP030; PPP1R135,YPL131W,ENSP00000359345,ENSP00000359345,11016@C06,6125,NA,NA,NA,NA,Complement,NA,Non complement,Complement,NA,NA,Complement,NA,
LARS; LRS; LEUS; LFIS; ILFS1; LARS1; LEURS; PIG44; RNTLS; HSPC192; hr025Cl,YPL160W,ENSP00000377954,ENSP00000377954,71029@B04,51520,NA,NA,Complement,NA,Non complement,NA,NA,Complement,NA,NA,Complement,NA,
NIP7; KD93; CGI-37; HSPC031,YPL211W,ENSP00000254940,ENSP00000254940,11028@D03,51388,Non complement,NA,Complement,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
FDX1L; FDX2,YPL252C,ENSP00000377311,ENSP00000377311,31012@B03,112812,Complement,NA,NA,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,
DIMT1; DIM1; DIMT1L; HUSSY5; HSA9761,YPL266W,ENSP00000199320,ENSP00000199320,11007@D01,27292,Complement,NA,Complement,Toxic,Non complement,Toxic,NA,Complement,NA,NA,Complement,Toxic,
EIF6; CAB; EIF3A; eIF-6; p27BBP; ITGB4BP; b(2)gcn; p27(BBP),YPR016C,ENSP00000363574,ENSP00000363559,11030@D01,3692,Complement,NA,NA,NA,NA,NA,NA,Complement,Complement,10085284,Complement,NA,
CCNH; CAK; p34; p37; CycH,YPR025C,ENSP00000256897,ENSP00000256897,11054@F01,902,NA,NA,Complement,NA,Non complement,NA,NA,Complement,NA,NA,Complement,NA,
GLUL; GS; GLNS; PIG43; PIG59,YPR035W,ENSP00000356537,ENSP00000356537,11008@H08,2752,NA,NA,NA,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
EIF5; EIF-5; EIF-5A,YPR041W,ENSP00000216554,ENSP00000216554,11011@A06,1983,NA,NA,Complement,NA,Complement,NA,Complement,Complement,Complement,9150866,Complement,NA,
TXNL4A; BMKS; DIB1; DIM1; TXNL4; SNRNP15; U5-15kD,YPR082C,ENSP00000269601,ENSP00000269601,11027@B08,10907,Non complement,NA,NA,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
PSMD6; S10; Rpn7; p42A; p44S10; SGA-113M,YPR108W,ENSP00000295901,ENSP00000418695,11009@E03,9861,NA,NA,Complement,Toxic,Complement,NA,Complement,Complement,NA,NA,Complement,Toxic,
CDIPT; PIS; PIS1,YPR113W,ENSP00000219789,ENSP00000455042,11029@E04,10423,NA,NA,NA,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
RABGGTB; GGTB,YPR176C,ENSP00000317473,ENSP00000317473,31037@A05,5876,NA,NA,Complement,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
SNRPF; SMF; Sm-F; snRNP-F,YPR182W,ENSP00000266735,ENSP00000266735,51001@D05,6636,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
DPM1; MPDS; CDGIE,YPR183W,ENSP00000360640,ENSP00000360640,11048@F07,8813,Complement,NA,Complement,NA,Complement,NA,NA,Complement,Non complement,9223280,Complement,NA,
POLR2F; RPB6; POLRF; RPC15; RPABC2; RPB14.4; HRBP14.4; RPABC14.4,YPR187W,ENSP00000385725,ENSP00000385725,11073@F06,5435,NA,NA,NA,NA,Complement,NA,NA,Complement,Complement,7651387,Complement,NA,
DDX51,YNR038W,ENSP00000380495,ENSP00000380495,11039@E06,317781,Complement,NA,NA,NA,Non complement,NA,NA,Complement,NA,NA,Complement,NA,
EIF5B; IF2,YAL035W,ENSP00000289371,ENSP00000289371,11080@H09,9669,NA,NA,NA,NA,NA,Toxic,NA,NA,Complement,10200264,Complement,Toxic,*
ALAD; PBGS; ALADH,YGL040C,ENSP00000363288,ENSP00000386284,NA,210,NA,NA,NA,NA,NA,NA,NA,NA,Complement,2178784,Complement,NA,*
GCH1; GCH; DYT5; DYT14; DYT5a; GTPCH1; HPABH4B; GTP-CH-1,YGR267C,ENSP00000363288,ENSP00000419045,NA,2643,NA,NA,NA,NA,NA,NA,NA,NA,Complement,10049741,Complement,NA,*
EXOSC2; p7; RRP4; Rrp4p; hRrp4p,YHR069C,ENSP00000361433,ENSP00000361433,NA,23404,NA,NA,NA,NA,NA,NA,NA,NA,Complement,10465791,Complement,NA,*
POLR2K; RPB12; RPABC4; RPB7.0; hRPB7.0; hsRPB10a; RPB10alpha; ABC10-alpha,YHR143W-A,ENSP00000342889,ENSP00000430106,NA,5440,NA,NA,NA,NA,NA,NA,NA,NA,Complement,7651387,Complement,NA,*
EIF2S1; EIF2; EIF-2; EIF2A; EIF-2A; EIF-2alpha,YJR007W,ENSP00000256383,ENSP00000256383,NA,1965,NA,NA,NA,NA,NA,NA,NA,NA,Complement,9150866,Complement,NA,*
SUGT1; SGT1,YOR057W,ENSP00000367208,ENSP00000367208,NA,10910,NA,NA,NA,NA,NA,NA,NA,NA,Complement,10445024,Complement,NA,*
AARS; CMT2N; EIEE29,YOR335C,ENSP00000261772,ENSP00000261772,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,Complement,7761427,Complement,NA,*
PSMD11; S9; Rpn6; p44.5,YDL097C,ENSP00000261712,ENSP00000261712,NA,5717,NA,NA,NA,NA,NA,NA,NA,NA,Complement,12486135,Complement,NA,*
PSMD2; S2; P97; RPN1; TRAP2,YHR027C,ENSP00000310129,ENSP00000310129,NA,5708,NA,NA,NA,NA,NA,NA,NA,NA,Complement,8774743,Complement,NA,*
SNW1; Bx42; SKIP; Prp45; SKIIP; PRPF45; NCOA-62,YAL032C,ENSP00000261531,ENSP00000451129,51012@C12,22938,NA,NA,NA,NA,Non complement,NA,NA,Non complement,Complement,15194481,Complement,NA,
DHDDS; DS; CIT; CPT; HDS; RP59,YBR002C,ENSP00000353104,ENSP00000353104,11051@E02,79947,Non complement,NA,NA,NA,Non complement,NA,NA,Non complement,Complement,"12591616, 14652022",Complement,NA,
PIGV; PIG-V; HPMRS1; GPI-MT-II,YBR004C,ENSP00000078527,ENSP00000078527,11066@E01,55650,NA,NA,NA,NA,Non complement,NA,NA,Non complement,Complement,15720390,Complement,NA,
DR1; NC2; NC2-BETA,YDR397C,ENSP00000359295,ENSP00000359295,11074@H06,1810,NA,NA,NA,NA,Non complement,Toxic,NA,Non complement,Complement,"10675336, 9023340",Complement,Toxic,
NUTF2; NTF2; PP15,YER009W,ENSP00000219169,ENSP00000219169,11026@G07,10204,NA,NA,NA,NA,Non complement,NA,NA,Non complement,Complement,8702493,Complement,NA,
RCC1; CHC1; RCC1-I; SNHG3-RCC1,YGL097W,ENSP00000381934,ENSP00000362937,11061@H11,1104,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,Complement,1865879,Complement,NA,
PIGB; PIG-B; GPI-MT-III,YGL142C,ENSP00000164305,ENSP00000164305,71019@G01,9488,NA,NA,NA,NA,Non complement,NA,NA,Non complement,Complement,"9576863, 10954751",Complement,NA,
NDC80; HEC; HEC1; TID3; KNTC2; HsHec1; hsNDC80,YIL144W,ENSP00000261597,ENSP00000261597,11070@H11,10403,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,Complement,"10409732, 10779342, 12386167",Complement,NA,
CRCP; RCP; RCP9; CGRPRCP; CGRP-RCP,YJL011C,ENSP00000378736,ENSP00000378736,31004@H05,27297,NA,NA,NA,NA,Non complement,NA,NA,Non complement,Complement,12482973,Complement,NA,
YKT6,YKL196C,ENSP00000223369,ENSP00000223369,11075@C05,10652,NA,NA,NA,NA,Non complement,NA,NA,Non complement,Complement,9211930,Complement,NA,
VTI1A; MMDS3; MVti1; VTI1RP2; Vti1-rp2,YMR197C,ENSP00000376792,ENSP00000376792,11045@D09,143187,NA,NA,NA,NA,Non complement,NA,NA,Non complement,Complement,9446565,Complement,NA,
DIS3; RRP44; dis3p; EXOSC11; KIAA1008; 2810028N01Rik,YOL021C,ENSP00000366997,ENSP00000366997,71026@C04,22894,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,Complement,9562621,Complement,NA,
POLR2H; RPB8; RPB17; RPABC3,YOR224C,ENSP00000296223,ENSP00000415536,31045@C06,5437,Non complement,NA,NA,NA,NA,Toxic,NA,Non complement,Complement,7651387,Complement,Toxic,
PIGA; GPI3; PNH1; PIG-A; MCAHS2,YPL175W,ENSP00000369820,ENSP00000369820,11065@H08,5277,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,Complement,7768896,Complement,NA,
